step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,eval_reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size
0,1,1,2,0.5000509023666382,0.5000509023666382,9.143202861494615e-10,-0.8828125,-0.8828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,0.6022034287452698,0.5497574806213379,2.6222987174987793,-0.6640625,-0.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,3,2,0.45520269870758057,0.38915663957595825,3.3023033142089844,-0.369140625,-0.232421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,2,0.45845842361450195,0.40021687746047974,2.9120781421661377,-0.6171875,-0.162109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,2,0.5905497670173645,0.5214155316352844,3.4567105770111084,-0.8515625,-0.29296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,6,2,0.4858209490776062,0.4403197169303894,2.275062084197998,-0.5859375,-0.169921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,6,2,0.42647555470466614,0.3912237882614136,1.7625885009765625,-0.54296875,-0.2470703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,7,2,0.4516754746437073,0.3913484215736389,3.016352891921997,-0.43359375,-0.275390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,7,2,0.42310020327568054,0.3610961437225342,3.100203514099121,-0.3125,-0.197265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,8,2,0.3641449213027954,0.305621862411499,2.9261531829833984,-0.1884765625,-0.11328125,-0.10609872965142131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,8,2,0.3369578719139099,0.2591879367828369,3.888495922088623,-0.291015625,-0.1083984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,8,2,0.2897709608078003,0.213483065366745,3.8143956661224365,-0.232421875,-0.14453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,8,2,0.284746378660202,0.20400822162628174,4.036908149719238,-0.26171875,-0.091796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,9,2,0.2282964587211609,0.1691463142633438,2.9575068950653076,-0.1953125,-0.035888671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,10,2,0.2310286909341812,0.16750213503837585,3.17632794380188,-0.1689453125,-0.050048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,10,2,0.2154535949230194,0.16147546470165253,2.698906898498535,-0.1943359375,-0.037353515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,10,2,0.18766503036022186,0.1400938630104065,2.37855863571167,-0.1767578125,-0.048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
