step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size
0,1,1,4,0.3058638572692871,0.3058638572692871,-1.2699074430910784e-11,-0.4375,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,1.969850778579712,0.4389823079109192,3.061736822128296,-0.60546875,-0.26171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,3,4,1.3371919393539429,0.3717029094696045,1.9309780597686768,-0.4765625,-0.27734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,4,1.334820032119751,0.4372751712799072,1.7950897216796875,-0.51171875,-0.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,4,4,1.4248974323272705,0.5206809043884277,1.8084330558776855,-0.33203125,-0.55078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,4,4,1.0221741199493408,0.37370455265045166,1.2969390153884888,-0.30078125,-0.384765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,4,4,0.9320000410079956,0.42771387100219727,1.0085723400115967,-0.55078125,-0.59765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,5,4,1.0276036262512207,0.37198448181152344,1.311238169670105,-0.41015625,-0.451171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,5,4,0.6604436635971069,0.3202066421508789,0.6804739832878113,-0.30859375,-0.32421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,6,4,0.8809523582458496,0.464059978723526,0.8337846994400024,-0.51171875,-0.5859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,7,4,0.9246624708175659,0.47151532769203186,0.9062943458557129,-0.50390625,-0.57421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,8,4,1.1843838691711426,0.4424612820148468,1.4838452339172363,-0.44921875,-0.53515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,8,4,1.0862157344818115,0.49316805601119995,1.1860952377319336,-0.58984375,-0.6484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,8,4,0.8280383944511414,0.4368402659893036,0.7823962569236755,-0.494140625,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,8,4,0.9024436473846436,0.4171898066997528,0.9705077409744263,-0.5703125,-0.62890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,8,4,0.7397201061248779,0.39786702394485474,0.6837061643600464,-0.57421875,-0.59765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,8,4,0.8758463263511658,0.43407419323921204,0.8835442662239075,-0.625,-0.5859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,8,4,0.8264232873916626,0.4143903851509094,0.8240658044815063,-0.56640625,-0.53515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,8,4,0.7437667846679688,0.41046464443206787,0.666604220867157,-0.546875,-0.52734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,8,4,0.7137811779975891,0.40376585721969604,0.6200306415557861,-0.58984375,-0.55859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,8,0,8,0,0,0,1.0,4096,4096,2.3766971714794636,4096,4096,4096,8192,"(2, 3, 4)",0.7,1.0,8,student,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,4096,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1723.400039833553,1723.400039833553,0.001953125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,4096,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1723.400039833553,1723.400039833553,0.001953125,1.0,0,0,0,HEALTHY,,0,0,0,0,0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,8
